tile_int,tile_vector,n_tiles,n_triplets,n_pairs,n_koritsu,n_terminals,n_ways
11134557777,3011204,11,2,1,3,5,384
11134566667,3011141,11,2,0,5,6,1024
11134566677,3011132,11,2,1,3,6,6144
11134566777,3011123,11,2,1,3,6,6144
11134567777,3011114,11,2,0,5,6,1024
11134666677,3011042,11,2,1,3,5,384
11134666777,3011033,11,3,0,2,5,1024
11134667777,3011024,11,2,1,3,5,384
11135555666,3010430,11,3,0,2,4,64
11135555667,3010421,11,2,1,3,5,384
11135555677,3010412,11,2,1,3,5,384
11135555777,3010403,11,3,0,2,4,64
11135556666,3010340,11,3,0,2,4,64
11135556667,3010331,11,3,0,2,5,1024
11135556677,3010322,11,2,2,1,5,2304
11135556777,3010313,11,3,0,2,5,1024
11135557777,3010304,11,3,0,2,4,64
11135566667,3010241,11,2,1,3,5,384
11135566677,3010232,11,2,2,1,5,2304
11135566777,3010223,11,2,2,1,5,2304
11135567777,3010214,11,2,1,3,5,384
11135666677,3010142,11,2,1,3,5,384
11135666777,3010133,11,3,0,2,5,1024
11135667777,3010124,11,2,1,3,5,384
11136666777,3010043,11,3,0,2,4,64
11136667777,3010034,11,3,0,2,4,64
11144445555,3004400,11,3,0,2,3,4
11144445556,3004310,11,3,0,2,4,64
11144445557,3004301,11,3,0,2,4,64
11144445566,3004220,11,2,2,1,4,144
11144445567,3004211,11,2,1,3,5,384
11144445577,3004202,11,2,2,1,4,144
11144445666,3004130,11,3,0,2,4,64
11144445667,3004121,11,2,1,3,5,384
11144445677,3004112,11,2,1,3,5,384
11144445777,3004103,11,3,0,2,4,64
11144446666,3004040,11,3,0,2,3,4
11144446667,3004031,11,3,0,2,4,64
11144446677,3004022,11,2,2,1,4,144
11144446777,3004013,11,3,0,2,4,64
11144447777,3004004,11,3,0,2,3,4
11144455556,3003410,11,3,0,2,4,64
11144455557,3003401,11,3,0,2,4,64
11144455566,3003320,11,3,1,0,4,384
11144455567,3003311,11,3,0,2,5,1024
11144455577,3003302,11,3,1,0,4,384
11144455666,3003230,11,3,1,0,4,384
11144455667,3003221,11,2,2,1,5,2304
11144455677,3003212,11,2,2,1,5,2304
11144455777,3003203,11,3,1,0,4,384
11144456666,3003140,11,3,0,2,4,64
11144456667,3003131,11,3,0,2,5,1024
11144456677,3003122,11,2,2,1,5,2304
11144456777,3003113,11,3,0,2,5,1024
11144457777,3003104,11,3,0,2,4,64
11144466667,3003041,11,3,0,2,4,64
11144466677,3003032,11,3,1,0,4,384
11144466777,3003023,11,3,1,0,4,384
11144467777,3003014,11,3,0,2,4,64
11144555566,3002420,11,2,2,1,4,144
11144555567,3002411,11,2,1,3,5,384
11144555577,3002402,11,2,2,1,4,144
11144555666,3002330,11,3,1,0,4,384
11144555667,3002321,11,2,2,1,5,2304
11144555677,3002312,11,2,2,1,5,2304
11144555777,3002303,11,3,1,0,4,384
11144556666,3002240,11,2,2,1,4,144
11144556667,3002231,11,2,2,1,5,2304
11144556677,3002222,11,1,4,0,5,5184
11144556777,3002213,11,2,2,1,5,2304
11144557777,3002204,11,2,2,1,4,144
11144566667,3002141,11,2,1,3,5,384
11144566677,3002132,11,2,2,1,5,2304
11144566777,3002123,11,2,2,1,5,2304
11144567777,3002114,11,2,1,3,5,384
11144666677,3002042,11,2,2,1,4,144
11144666777,3002033,11,3,1,0,4,384
11144667777,3002024,11,2,2,1,4,144
11145555666,3001430,11,3,0,2,4,64
11145555667,3001421,11,2,1,3,5,384
11145555677,3001412,11,2,1,3,5,384
11145555777,3001403,11,3,0,2,4,64
11145556666,3001340,11,3,0,2,4,64
11145556667,3001331,11,3,0,2,5,1024
11145556677,3001322,11,2,2,1,5,2304
11145556777,3001313,11,3,0,2,5,1024
11145557777,3001304,11,3,0,2,4,64
11145566667,3001241,11,2,1,3,5,384
